sample,mode,scenario,mean_ms,stddev_ms,runs,tool,binary_bytes,timestamp_utc
1,full,cold_start_help,200.0,0.0,5,time,1832984,2026-05-15T20:22:50Z
1,full,parser_check,202.0,4.0,5,time,1832984,2026-05-15T20:22:50Z
1,full,parser_dump_scene,192.0,11.662,5,time,1832984,2026-05-15T20:22:50Z
1,full,render_file,206.0,13.565,5,time,1832984,2026-05-15T20:22:50Z
1,full,render_stdin,198.0,4.0,5,time,1832984,2026-05-15T20:22:50Z
1,full,render_stdin_multi,198.0,4.0,5,time,1832984,2026-05-15T20:22:50Z
2,full,cold_start_help,182.0,16.0,5,time,1832984,2026-05-15T20:22:56Z
2,full,parser_check,180.0,26.077,5,time,1832984,2026-05-15T20:22:56Z
2,full,parser_dump_scene,186.0,23.324,5,time,1832984,2026-05-15T20:22:56Z
2,full,render_file,194.0,4.899,5,time,1832984,2026-05-15T20:22:56Z
2,full,render_stdin,198.0,4.0,5,time,1832984,2026-05-15T20:22:56Z
2,full,render_stdin_multi,188.0,7.483,5,time,1832984,2026-05-15T20:22:56Z
3,full,cold_start_help,202.0,4.0,5,time,1832984,2026-05-15T20:23:03Z
3,full,parser_check,196.0,4.899,5,time,1832984,2026-05-15T20:23:03Z
3,full,parser_dump_scene,190.0,27.568,5,time,1832984,2026-05-15T20:23:03Z
3,full,render_file,190.0,8.944,5,time,1832984,2026-05-15T20:23:03Z
3,full,render_stdin,202.0,4.0,5,time,1832984,2026-05-15T20:23:03Z
3,full,render_stdin_multi,168.0,44.0,5,time,1832984,2026-05-15T20:23:03Z
