family,slice,feature,status,current_support,evidence,official_source,priority,tracking_issue
gantt+chronology,parser+semantic model,@startgantt/@startchronology parsing,implemented,Implemented parser and normalized timeline model with deterministic diagnostics for invalid constructs,tests/fixtures/timeline/valid_gantt_baseline.puml;tests/fixtures/timeline/valid_chronology_baseline.puml,https://plantuml.com/gantt-diagram,p0,#94
gantt+chronology,layout+renderer,time-axis and event render,partial,Deterministic gantt/chronology render path is active with project-start and project-end date-axis labels plus explicit date/duration placement plus daily/weekly/monthly/quarterly/yearly scale evidence plus workload duration from `requires` expanded over closed/open weekdays/date ranges plus relative task offsets separators resource lane/load metadata milestone date/reference placement and chronology ISO-date sorting; advanced PlantUML scale/calendar semantics remain broader,tests/fixtures/timeline/valid_gantt_render.puml;tests/fixtures/timeline/valid_gantt_dates_proportional.puml;tests/fixtures/timeline/valid_chronology_render.puml;tests/parity_wave_csv_timeline_activity.rs::gantt_separator_relative_constraints_resource_metadata_and_month_scale_render,https://plantuml.com/chronology-diagram,p0,#95
mindmap+wbs,parser+AST,mindmap/wbs syntax families,implemented,@startmindmap/@startwbs families parse and normalize,tests/fixtures/non_sequence/invalid_mindmap_diagram.puml;tests/fixtures/non_sequence/invalid_wbs_diagram.puml,https://plantuml.com/mindmap-diagram,p0,#96
mindmap+wbs,layout+renderer,hierarchy layout/orientation,partial,Deterministic render path exists and WBS orientation metadata plus per-node color tags large-tree node/leaf/depth/branch metadata and sibling/child-count classes are preserved while broader orientation/styling parity remains partial,docs/examples/mindmap/01_basic.svg;docs/examples/wbs/01_basic.svg;tests/parity_wave_csv_timeline_activity.rs;tests/nonuml_topology_depth.rs::mindmap_and_wbs_large_tree_metadata_and_branch_classes_render,https://plantuml.com/wbs-diagram,p0,#97
salt,parser+widget model,Salt block parsing and widget model,implemented,Family recognized and rendered with deterministic semantics,tests/fixtures/families/valid_salt_bootstrap.puml,https://plantuml.com/salt,p1,#98
salt,renderer,wireframe widget rendering,partial,Renderer path supports label/input/button/combo/checkbox/radio rows plus prefix-label rows plus separator rows and tree/menu/tab/scroll/table widgets; style directives now cover Salt canvas/panel/header/input/button/menu/tab/scrollbar/checkbox/radio/accent/border/grid/font colors plus deterministic header handling Creole text OpenIconic-safe placeholders and pseudo-sprite placeholder metadata while broader PlantUML widget/layout breadth remains partial,tests/fixtures/families/valid_salt_login_form.puml;tests/fixtures/styling/valid_skinparam_salt_compat.puml;tests/local_parity_blitz.rs::skinparam_family_compatibility_chunk_reaches_svg_for_non_sequence_families;tests/integration.rs::salt_creole_icons_sprites_and_scoped_widget_styles_render,https://plantuml.com/salt,p1,#99
archimate,parser+stdlib integration,archimate declarations and relation macros,implemented,Family parser and relation handling are active,tests/fixtures/non_sequence/valid_archimate.puml,https://plantuml.com/archimate-diagram,p1,#100
archimate,relation layout+render,layered element rendering,partial,Parser accepts stdlib-style layer element and junction macros plus access/assignment/flow/triggering/etc relation macros with direction/style suffix evidence; deterministic layered render path emits styled relation-edge SVG metadata while advanced style breadth is partial,docs/examples/archimate/01_layered.svg;tests/integration.rs;tests/nonuml_topology_depth.rs,https://plantuml.com/archimate-diagram,p1,#100
nwdiag/network,parser+topology model,network/group/node grammar,implemented,Family parser and topology model available,tests/fixtures/non_sequence/valid_nwdiag.puml,https://plantuml.com/nwdiag,p1,#101
nwdiag/network,layout+render,network topology rendering,partial,Renderer path active with deterministic output for multi-network topology plus group membership and address/color/label/shape/style/width attributes while richer nwdiag semantics remain partial,docs/examples/nwdiag/01_single_net.svg;tests/nonuml_topology_depth.rs,https://plantuml.com/nwdiag,p1,#101
json+yaml,standalone data diagrams,@startjson/@startyaml diagram support,implemented,Both families parse and render deterministic data-tree views,tests/fixtures/non_sequence/valid_json.puml;tests/fixtures/non_sequence/valid_yaml.puml,https://plantuml.com/json,p1,#102
json+yaml,cross-diagram projection,JSON/YAML projection into UML contexts,partial,JSON and YAML inline projection boxes render inside class/object/usecase and component/deployment contexts; full PlantUML projection semantics remain broader,tests/fixtures/families/valid_yaml_projection.puml;tests/local_parity_blitz.rs::json_yaml_projection_boxes_render_in_component_and_deployment_contexts,https://plantuml.com/yaml,p2,#103
regex,parser+regex-diagram model,@startregex support,implemented,Regex family parser and deterministic render path are active,tests/fixtures/non_sequence/valid_regex.puml,https://plantuml.com/regex,p1,#104
regex,rendering+localized labels,advanced regex descriptive options,partial,Core render is implemented with localized descriptive labels exact/ranged counted quantifier evidence lazy suffix acceptance and Unicode category labels; broader regex engine semantics remain partial,docs/examples/regex/01_character_classes.svg;tests/integration.rs,https://plantuml.com/regex,p2,#104
ebnf,parser+grammar model,@startebnf support,implemented,EBNF grammar family parses and renders deterministically,tests/fixtures/non_sequence/valid_ebnf.puml,https://plantuml.com/ebnf,p1,#104
ebnf,rendering+style,full railroad/style semantics,partial,Core render is implemented with styled rule notes exact/ranged counted repeat evidence special sequences prefix repeat forms and simple style-block handling; broader railroad styling breadth remains partial,docs/examples/ebnf/01_simple_grammar.svg;tests/integration.rs,https://plantuml.com/ebnf,p2,#104
math,inline+standalone formula support,@startmath/@startlatex support,implemented,Math family support is implemented with deterministic renderer plus advanced LaTeX-ish fractions binomials roots paired scripts accents fences cases/matrix environments Greek/operators symbols text constructs and big-operator layout,tests/fixtures/non_sequence/valid_math.puml;tests/fixtures/families/valid_math_complex.puml;tests/integration.rs,https://plantuml.com/ascii-math,p2,#207
sdl,activity-sdl mode support,@startsdl and transition support,implemented,SDL family parser/model/render is implemented with stereotype-driven start/end/input/output/decision shapes; deeper activity-beta semantics remain partial,tests/fixtures/non_sequence/valid_sdl.puml;tests/integration.rs,https://plantuml.com/activity-diagram-beta#SDL-Specification-and-Description-Language-with-SDL-sterotype,p2,#105
ditaa,ascii-art integration,@startditaa support,implemented,Ditaa family parser/render route is implemented with deterministic ASCII shape detection plus scale/transparent/background/shadow options color hints PlantUML shape tags dashed/rounded/document/cylinder/diamond/io/manual/ellipse/trapezoid boxes junction connectors diagonal connectors and arrowheads,tests/fixtures/non_sequence/valid_ditaa.puml;tests/fixtures/families/valid_ditaa_complex.puml;tests/integration.rs,https://plantuml.com/ditaa,p2,#208
chart,chart grammar+series model,@startchart support,implemented,Chart parser supports baseline bar/column/line/pie plus area/scatter chart forms with deterministic output,tests/fixtures/non_sequence/valid_chart_bar.puml;tests/fixtures/non_sequence/valid_chart_pie.puml;tests/integration.rs,https://plantuml.com/chart-diagram,p0,#106
chart,chart renderer+style,axis/legend/style breadth,partial,"Core chart renderer accepts PlantUML-style `bar chart`/`line chart`/`pie chart` labels plus colon-delimited points, normalized palette/caption/annotations, explicit v-axis tick step, legend off/positioning h/v metadata, label placement modes, pie callouts, and selected skinparams including generic chart axis/grid/bar/font aliases; full axis/legend semantics remain partial",docs/examples/chart/01_bar.svg;tests/fixtures/styling/valid_skinparam_chart_compat.puml;tests/integration.rs;tests/chart_parity.rs;tests/local_parity_blitz.rs::skinparam_family_compatibility_chunk_reaches_svg_for_non_sequence_families,https://plantuml.com/chart-diagram,p0,#106
